trip_distance,is_weekend,is_holiday,congestion_surcharge_dummy,airport_fee_dummy,duration_sec
2.9,0,0,1,0,471.0
2.6,0,0,1,0,827.0
0.99,0,0,1,0,293.0
15.02,0,0,0,0,1821.0
0.13,0,0,1,0,191.0
1.0,0,0,1,0,378.0
0.65,0,0,1,0,208.0
1.5,0,0,1,0,363.0
20.3,0,0,0,1,2079.0
17.43,0,0,1,1,1732.0
10.81,0,0,0,1,1389.0
1.4,0,0,1,0,350.0
4.61,0,0,1,0,1124.0
8.5,0,0,0,1,1152.0
2.19,0,0,1,0,684.0
10.27,0,0,0,1,958.0
3.4,0,0,1,0,736.0
0.5,0,0,1,0,281.0
1.4,0,0,1,0,349.0
17.29,0,0,0,1,1609.0
0.73,0,0,1,0,226.0
2.86,0,0,1,0,748.0
4.4,0,0,1,0,1294.0
0.5,0,0,1,0,139.0
0.8,0,0,1,0,443.0
2.15,0,0,0,1,780.0
1.2,0,0,1,0,269.0
2.94,0,0,1,0,560.0
17.16,0,0,1,1,1580.0
5.1,0,0,1,0,1383.0
5.54,0,0,0,1,702.0
7.5,0,0,1,0,2685.0
1.04,0,0,1,0,297.0
6.98,0,0,1,0,1259.0
18.6,0,0,1,1,1670.0
2.7,0,0,1,0,825.0
16.63,0,0,1,1,1796.0
1.8,0,0,1,0,437.0
10.99,0,0,1,1,1440.0
2.0,0,0,1,0,1437.0
4.7,0,0,1,0,1470.0
1.1,0,0,1,0,471.0
2.6,0,0,1,0,883.0
5.7,0,0,1,0,1431.0
1.6,0,0,1,0,482.0
4.1,0,0,1,0,1268.0
14.03,0,0,1,0,1228.0
1.34,0,0,1,0,439.0
7.0,0,0,0,1,1123.0
2.93,0,0,1,0,817.0
1.4,0,0,1,0,609.0
2.0,0,0,1,0,661.0
5.19,0,0,1,0,1182.0
1.24,0,0,1,0,377.0
9.7,0,0,0,1,1490.0
21.2,0,0,0,1,1609.0
12.8,0,0,1,0,1742.0
7.08,0,0,1,0,1235.0
10.9,0,0,0,1,1957.0
12.89,0,0,0,1,2176.0
9.92,0,0,0,1,1015.0
20.41,0,0,0,1,1903.0
3.27,0,0,1,0,679.0
3.16,0,0,1,0,1099.0
1.29,0,0,1,0,544.0
1.08,0,0,1,0,578.0
2.46,0,0,1,0,827.0
2.0,0,0,1,0,422.0
1.92,0,0,1,0,540.0
8.32,0,0,1,1,895.0
2.7,0,0,1,0,687.0
10.97,0,0,0,1,1260.0
17.76,0,0,0,1,1900.0
1.49,0,0,1,0,382.0
4.3,0,0,1,0,750.0
10.03,0,0,1,1,1254.0
19.6,0,0,0,1,2475.0
2.1,0,0,1,0,413.0
1.2,0,0,1,0,412.0
20.66,0,0,1,1,2270.0
3.0,0,0,1,0,605.0
17.4,0,0,1,1,1943.0
2.12,0,0,1,0,438.0
2.66,0,0,1,0,362.0
5.07,0,0,1,0,923.0
2.11,0,0,1,0,369.0
3.0,0,0,1,0,708.0
19.74,0,0,1,0,2203.0
1.5,0,0,1,0,587.0
1.02,0,0,1,0,319.0
1.36,0,0,1,0,476.0
1.2,0,0,1,0,463.0
10.69,0,0,0,1,1826.0
3.5,0,0,1,0,963.0
3.37,0,0,1,0,850.0
0.73,0,0,1,0,259.0
19.97,0,0,1,1,2009.0
2.67,0,0,1,0,786.0
11.44,0,0,1,1,1632.0
0.95,0,0,1,0,292.0
1.8,0,0,1,0,413.0
2.8,0,0,1,0,828.0
10.3,0,0,1,1,1553.0
1.42,0,0,1,0,247.0
3.88,0,0,1,0,1014.0
0.67,0,0,1,0,254.0
1.46,0,0,1,0,482.0
17.46,0,0,1,1,1893.0
4.24,0,0,1,0,1199.0
8.2,0,0,1,0,1176.0
5.29,0,0,1,0,1264.0
4.75,0,0,1,0,1599.0
3.43,0,0,1,0,1160.0
0.42,0,0,1,0,156.0
1.3,0,0,1,0,404.0
4.3,0,0,1,0,1386.0
0.86,0,0,1,0,423.0
12.29,0,0,0,1,1037.0
13.1,0,0,0,1,1720.0
15.78,0,0,0,1,1497.0
2.53,0,0,1,0,674.0
1.85,0,0,1,0,606.0
2.2,0,0,0,0,646.0
8.01,0,0,1,0,1432.0
1.5,0,0,1,0,470.0
19.87,0,0,1,1,1821.0
10.64,0,0,0,1,1298.0
1.09,0,0,1,0,482.0
7.89,0,0,0,0,973.0
10.24,0,0,0,1,1004.0
4.83,0,0,1,0,1039.0
0.45,0,0,1,0,125.0
